"Corps","Date","CompetitionDay","showID","Show","City","State"
"7th Regiment","2020-06-27",10,16,"East Coast Classic","Chestnut Hill","MA"
"7th Regiment","2020-06-28",11,18,"The Beanpot","Lynn","MA"
"7th Regiment","2020-07-18",31,61,"DCI New Hampshire","Nashua","NH"
"7th Regiment","2020-07-24",37,73,"Music on the Mountain","Sheffield","PA"
"7th Regiment","2020-07-25",38,77,"Legends Drum Corps Invitational","White Lake","MI"
"7th Regiment","2020-07-27",40,80,"DCI Shoreline Classic","Storm Lake","IA"
"7th Regiment","2020-07-29",42,86,"Rock River Brass","Rock Falls","IL"
"7th Regiment","2020-07-31",44,90,"Legends Drum Corps Open","Plainwell","MI"
"7th Regiment","2020-08-01",45,93,"DCI Eastern Illinois","Charleston","IL"
"7th Regiment","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Blue Devils","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Blue Devils","2020-06-20",3,4,"DCI West","Stanford","CA"
"Blue Devils","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Blue Devils","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Blue Devils","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Blue Devils","2020-06-29",12,20,"Drums Across the Desert","Mesta","AZ"
"Blue Devils","2020-07-03",16,26,"Cavalcade of Brass","Lisle","IL"
"Blue Devils","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"Blue Devils","2020-07-07",20,34,"The Thunder of Drums","Mankato","MN"
"Blue Devils","2020-07-11",24,46,"Tour of Champions – Northern Illinois","DeKalb","IL"
"Blue Devils","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"Blue Devils","2020-07-14",27,55,"DCI Broken Arrow","Broken Arrow","OK"
"Blue Devils","2020-07-17",30,59,"DCI Houston","Houston","TX"
"Blue Devils","2020-07-18",31,63,"DCI San Antonio","San Antonio","TX"
"Blue Devils","2020-07-20",33,66,"DCI Mesquite","Mesquite","TX"
"Blue Devils","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"Blue Devils","2020-07-24",37,75,"The Masters of the Summer Music Games","Murfeesboro","TN"
"Blue Devils","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Blue Devils","2020-07-26",39,79,"NightBEAT","Winston-Salem","NC"
"Blue Devils","2020-07-28",41,83,"Drum Corps: An American Tradition","TBA","PA, NC"
"Blue Devils","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"Blue Devils","2020-08-02",46,95,"DCI Pittsburgh","Pittsburgh","PA"
"Blue Devils B","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Blue Devils B","2020-06-20",3,4,"DCI West","Stanford","CA"
"Blue Devils B","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Blue Devils B","2020-07-10",23,40,"Riverside Open","Riverside","CA"
"Blue Devils B","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Blue Devils B","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Blue Devils B","2020-07-17",30,58,"Resound","Bakersfield","CA"
"Blue Devils B","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Blue Devils B","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Blue Devils B","2020-08-01",45,93,"DCI Eastern Illinois","Charleston","IL"
"Blue Devils B","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Blue Devils C","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Blue Devils C","2020-06-20",3,4,"DCI West","Stanford","CA"
"Blue Devils C","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Blue Devils C","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Blue Devils C","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Blue Devils C","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Blue Devils C","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Blue Knights","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Blue Knights","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Blue Knights","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Blue Knights","2020-07-02",15,24,"Rogue DCI","TBD","OR"
"Blue Knights","2020-07-03",16,27,"Drums of Fire","Camas","WA"
"Blue Knights","2020-07-05",18,30,"Seattle Summer Music Games","Renton","WA"
"Blue Knights","2020-07-07",20,33,"Drums Along the Columbia","Tri Cities","WA"
"Blue Knights","2020-07-08",21,36,"Drums Along the Rockies – Boise Edition","Boise","ID"
"Blue Knights","2020-07-10",23,41,"Corps Encore","Ogden","UT"
"Blue Knights","2020-07-12",25,50,"Drums Along the Rockies ","Denver","CO"
